id,question,answer,confidence_score,topic,source_url
batch-8877-a6509028,What is the total annual financial assistance provided to eligible farmer families under the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme?,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme provides a total annual financial assistance of ₹ 6,000/- to eligible landholding farmer families. This amount is disbursed in three equal instalments of ₹ 2,000/- each. These instalments are transferred directly into the farmers' bank accounts through Direct Benefit Transfer (DBT) mode during specific periods: April–July, August–November, and December–March, within each financial year. The scheme aims to help farmers cover expenses related to agriculture, allied activities, and domestic needs.",0.8,Agricultural support programs in India,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-329f716c,In which month and year was the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme launched by the Prime Minister?,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme was officially launched by the honourable Prime Minister in February 2019. Although launched in February 2019, the scheme's implementation was made effective from an earlier date, specifically December 1, 2018. This central sector scheme of the Government of India aims to provide crucial financial assistance to landholding farmer families across the country, helping them manage agricultural and domestic expenses.",0.8,Indian government welfare schemes,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-f7e32a78,Which specific government ministry is responsible for the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme?,"The provided reference context states that the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) is a central sector scheme of the Government of India. However, the context does not explicitly name a specific government ministry responsible for the scheme's overall implementation. It mentions ""MeitY, Government of India"" in the context of the Digital India portal, where information about PM-KISAN is presented, but this does not directly identify MeitY as the implementing ministry for the PM-KISAN scheme itself.",0.8,Indian government welfare schemes,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-d2374129,"How many equal installments of financial assistance are transferred annually under the PM-KISAN scheme, and what is the amount of each installment?","Under the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme, financial assistance is transferred annually in three equal installments. Each of these installments amounts to ₹ 2,000/-. These payments are disbursed during specific periods each financial year: April–July, August–November, and December–March. The total amount transferred per year to eligible landholding farmer families is ₹ 6,000/-.",0.8,Agricultural support programs in India,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-c9006ef3,What is the primary aim of the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme for landholding farmer families across the country?,"The primary aim of the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme is to provide financial assistance to landholding farmer families throughout India. This support enables them to cover expenses related to agriculture and allied activities. Furthermore, the scheme helps these families address their domestic needs, contributing to their overall well-being. This financial aid is provided subject to specific exclusion criteria outlined in the scheme's operational guidelines.",0.8,Agricultural support programs in India,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-00335e92,Through which specific mode are the financial benefits of the PM-KISAN scheme transferred directly into the farmers’ bank accounts?,"The financial benefits of the PM-KISAN scheme are transferred directly into the farmers’ bank accounts through the Direct Benefit Transfer (DBT) mode. This is achieved via a technology-driven IT solution designed for efficient disbursement. Specifically, the scheme leverages an Aadhaar-enabled payment system to deposit funds into the Aadhaar-seeded bank accounts of the beneficiaries, ensuring a streamlined and secure transfer process.",0.8,Agricultural support programs in India,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-ee7aec5f,Which existing state government scheme is credited with inspiring the nationwide implementation of the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)?,"The provided reference context does not contain information regarding an existing state government scheme that is credited with inspiring the nationwide implementation of the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN). The text describes PM-KISAN as a central sector scheme of the Government of India, launched in February 2019 and implemented from December 1, 2018. It focuses on the scheme's objectives, financial assistance details, and technological aspects, but does not mention any precursor state-level program. Therefore, based solely on the given sources, this specific detail cannot be identified.",0.8,Indian government welfare schemes,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-cf38b0ce,What specific technological solution does PM-KISAN utilize for transferring direct benefits into Aadhaar-seeded beneficiary bank accounts?,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme utilizes a technology-driven IT solution for transferring direct benefits into Aadhaar-seeded beneficiary bank accounts. Specifically, the financial assistance of ₹ 6,000/- per year, provided in three equal instalments of ₹ 2,000/-, is transferred directly into farmers' bank accounts through the Direct Benefit Transfer (DBT) mode. This process is facilitated by an aadhaar-enabled payment system, ensuring efficient and secure disbursement of funds. The scheme leverages this system to reach eligible landholding farmer families across the country.",0.8,Agricultural support programs in India,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-a7a8a606,"Although the PM-KISAN scheme was launched in February 2019, from what specific date was it implemented?","Although the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme was officially launched by the honourable Prime Minister in February 2019, its implementation took effect from an earlier date. The scheme began its operational phase on December 1, 2018. This central sector scheme of the Government of India aims to provide financial assistance to landholding farmer families, with the first benefits being calculated from this earlier implementation date. The annual amount of ₹ 6,000/- is transferred in three equal instalments, aligning with the financial year cycles following this implementation.",0.8,Agricultural support programs in India,https://www.digitalindia.gov.in/initiative/pm-kisan/
batch-8877-24bb1974,"According to the operational guidelines of the PM-KISAN scheme, what is the role of states and Union Territories in its implementation?","According to the operational guidelines of the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme, the states and Union Territories are responsible for identifying and verifying the beneficiaries. This crucial step ensures that the financial assistance reaches the intended landholding farmer families across the country. By undertaking this identification and verification process, states and UTs play a vital role in the accurate and effective implementation of the scheme. This ensures that the direct benefits are transferred to the Aadhaar-seeded bank accounts of eligible farmers.",0.8,Agricultural support programs in India,https://www.digitalindia.gov.in/initiative/pm-kisan/
